"routine_schema","routine_name","arguments_accepted"
"public","npoints","polygon"
"public","st_hausdorffdistance","geometry, geometry, double precision"
"public","st_makebox2d","geometry, geometry"
"public","npoints","path"
"public","postgis_noop","geometry"
"public","box2d_out","box2d"
"public","multipointfromtext","text"
"public","force_4d","geometry"
"public","snaptogrid","geometry, double precision, double precision"
"public","st_asgeojson","integer, geography, integer"
"public","st_line_substring","geometry, double precision, double precision"
"public","se_locatebetween","geometry, double precision, double precision"
"public","st_buffer","geometry, double precision, integer"
"public","st_coveredby","geometry, geometry"
"public","st_mpolyfromtext","text"
"public","st_geometry_recv","internal"
"public","st_linefromwkb","bytea"
"public","st_contains","geometry, geometry"
"public","askml","integer, geometry, integer"
"public","st_polyfromwkb","bytea, integer"
"public","geometry_right","geometry, geometry"
"public","st_distance_spheroid","geometry, geometry, spheroid"
"public","lockrow","text, text, text, text"
"public","st_dumppoints","geometry"
"public","checkauth","text, text, text"
"public","mpointfromwkb","bytea"
"public","asewkt","geometry"
"public","asewkb","geometry, text"
"public","st_force_2d","geometry"
"public","st_asgml","integer, geometry"
"public","st_isempty","geometry"
"public","st_multipolyfromwkb","bytea"
"public","st_snaptogrid","geometry, double precision"
"public","updategeometrysrid","character varying, character varying, integer"
"public","geography_le","geography, geography"
"public","mpolyfromtext","text"
"public","st_geometry_right","geometry, geometry"
"public","geometry_overleft","geometry, geometry"
"public","st_length","text"
"public","st_geomfromgml","text"
"public","linefrommultipoint","geometry"
"public","zmax","box3d"
"public","st_reverse","geometry"
"public","multipointfromwkb","bytea"
"public","st_ashexewkb","geometry, text"
"public","st_affine","geometry, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision"
"public","st_compression","chip"
"public","mpolyfromwkb","bytea, integer"
"public","polygonfromtext","text, integer"
"public","combine_bbox","box3d, geometry"
"public","st_linefromtext","text, integer"
"public","st_mlinefromtext","text"
"public","combine_bbox","box3d_extent, geometry"
"public","pgis_geometry_union_finalfn","pgis_abs"
"public","st_affine","geometry, double precision, double precision, double precision, double precision, double precision, double precision"
"public","st_geomfromewkt","text"
"public","geography_typmod_srid","integer"
"public","polygonfromwkb","bytea, integer"
"public","st_box3d_out","box3d"
"public","st_addmeasure","geometry, double precision, double precision"
"public","overlaps","time without time zone, time without time zone, time without time zone, interval"
"public","enablelongtransactions",""
"public","geomfromewkt","text"
"public","st_collect","geometry"
